序號,地區別,縣市,觀光工廠名稱,地址,觀光工廠預約電話,網址,經緯度(度)Google地圖,102簡介(約90字內)
74,中部,南投縣,廣興紙寮,南投縣埔里鎮鐵山里鐵山路310號,049-2913037,http://www.taiwanpaper.com.tw,"""23.975693,120.938331""",全台唯一對外開放供參觀及教學體驗的手工造紙廠，設計適合各年齡層的教學活動，是具有知識性、趣味性及挑戰性的轉型工廠，附設台灣手工紙店提供了100多種不同性質的台灣精緻手工紙。
75,中部,雲林縣,丸莊醬油觀光工廠,雲林縣西螺鎮延平路25號,05-5863666,http://www.wuanchuang.com.tw,"""23.802355,120.463728""",丸莊位於西螺，主要生產台灣式黑豆醬油，為傳承醬油釀造文化，結合觀光及文化成立首座台灣「醬油觀光工廠」，藉由整體發展的設計規劃後，展現新意與魅力，瞭解台灣傳統黑豆蔭油的釀造過程。
76,中部,雲林縣,大同醬油黑金釀造館,雲林縣斗六市斗工二路39號,05-5576899,http://www.tatungcan.com.tw,"""23.719425,120.597991""",創立於1911年，經歷一百年歷練，大同醬油的堅持與熱情從未改變，始終以傳統釀造技術創造健康香醇味濃的醬油，開放製程並將醬油的歷史文物展現分享，期盼以『寓教娛樂』傳承傳統釀造產業精神。
77,中部,雲林縣,汎歌保養品科技美學舘,雲林縣斗六市工業路79號,05-5571138,http://www.panco.com.tw,"""23.722006,120.58921""",為保持競爭優勢，汎歌於三十年間兩次擴廠，全採GMP標準建造，廠內有全台唯一美國製造的奈米機，不僅研發能力與國際同步，製造過程嚴謹、品質穩定，全廠力求不破壞生態環境，關懷台灣不遺餘力。
78,中部,雲林縣,朝露魚舖觀光工廠,雲林縣斗六市斗工六路6號,05-5575989#122 ,http://www.chaolou.com.tw,"""23.71793,120.596065""",首創全國唯一科技化水產加工廠【健康、安全、美味】，並以顧客的便利為出發點，開發各系列輕鬆料理的急速冷凍真空包裝，歡迎來探索如何憑一把刀與一顆石頭，讓台灣水產業界跨進新紀元。
79,中部,雲林縣,源順芝麻觀光油廠,雲林縣土庫鎮成功路1-62號,05-6622574,http://www.god-bene.com.tw/,"""23.672256,120.395321""",廠區規劃各式展覽空間，陳列歷史照片及擺設古早製油器具，讓您瀏覽「源順」起家的創始故事、如何堅持著「只製造有益人體健康之產品」的信念，不放棄至今的日益成長與茁壯的過程。
80,中部,雲林縣,福祿壽觀光酒廠,雲林縣古坑鄉中山路11號,05-5823106,http://museum.fortunebrewery.com.tw,"""23.640332,120.560153""",福祿壽酒廠堅持原香原料的好酒，榮獲國家級優質酒類認證，及世界菸酒評鑑大會超金質獎，另設酒博物館，介紹製酒流程及收藏酒區，提供導覽、品酒、體驗、購物等多項服務。
81,中部,雲林縣,緹諾時尚生活館,雲林縣斗六市斗工六路20號,05-5576568,http://www.kdl.com.tw,"""23.717701,120.595582""",緹諾為全台最大寢飾觀光工廠，館內展示各種紡織加工品、國軍使用寢具、服飾與迷彩包，現場介紹各機能性產品並解說產製過程等專業知識、提供DIY活動，近期將新設置漆彈場，歡迎參觀體驗。
82,中部,雲林縣,興隆毛巾觀光工廠,雲林縣虎尾鎮埒內里 84-1號,05-6226008,http://www.sltowel.com.tw,"""23.725125,120.443386""",成立近三十年的興隆毛巾，廠內有涵蓋多個年代的毛巾織機，製程豐富且獨具產業特色，提供純正的台灣毛巾工廠導覽、創意產品DIY可發揮參與者的創意與動手實作，饒富趣味性與吸引力。
83,南部,嘉義縣,卡普秀醫美研發中心,嘉義縣民雄鄉民雄工業區成功五街3號,0800-520668,http://www.facebook.com/TS.capsule,"""23.523299,120.450156""",把健康美麗變簡單～本中心專為敏感問題肌膚以及各年齡層男女量身打造醫美級優質保養品，破除盲目追求專櫃品牌的迷思，以專業技術將保養精華封存於時空膠囊內，方便、實用、安全又環保。
84,南部,嘉義縣,民雄金桔觀光工廠,嘉義縣民雄鄉三興村38號,05-2720351,http://www.kingezi.com.tw,"""23.558153,120.476685""",園區內可參觀金桔餅之製造過程，並有金桔DIY體驗活動，亦可漫步在美麗的園區、享受難得悠閒。金桔時光歲道帶大家回到五十年前，跟金桔爺爺一起發掘金桔的無窮妙用。
85,南部,嘉義縣,永勝小丸子健康工廠,嘉義縣民雄鄉頭橋工業區工業三路6-3號,05-2218686#24,http://www.health-house.com.tw,"""23.520926,120.436623""",永勝小丸子健康工廠位於嘉義，在探索館中，體驗豐富保健知識並擁有多項的互動設施，結合樂活休閒DIY的體驗，推廣保健教育。「探索館內滿新奇，端詳一探在致知；安康保健蘊欣喜，製藥科技永流傳」。
86,南部,嘉義縣,余順豐花生觀光工廠,嘉義縣東石鄉蔦松村湖底路20之28號,0800-088662,http://www.yuyuanfarm.com/,"""23.466447,120.222949""",創立於民國45年，為全國第一家花生觀光工廠，以知識、文化與教育為理念在工廠製程中了解產業知識與文化，從採收、加工、銷售一貫流程作業，將傳統農產業轉型，結合產品精緻化與觀光服務。
87,南部,嘉義縣,板陶窯交趾剪黏工藝園區,嘉義縣新港鄉板頭村42-3號,05-7810832,http://www.bantaoyao.com.tw,"""23.565285,120.32072""",板陶窯從『藝昌陶藝廠』轉型為觀光工廠，將廠房重新打造出一個結合戶外庭園區、交趾剪黏工藝館、賣創意、體驗工坊與餐飲服務的休閒園區。
88,南部,嘉義縣,品皇咖啡博物館,嘉義縣太保市梅埔里10鄰梅子厝84之2號,0800-868689,http://www.phcafe-museum.com.tw/ ,"""23.442351,120.343389""",品皇咖啡博物館完整的呈現咖啡知識文化，讓來訪貴賓更了解咖啡的歷史演進、各國咖啡文化以及製程的處理方式，適合對咖啡有興趣的一起來深度體驗咖啡的奧妙之處。
89,南部,嘉義縣,梅問屋梅子元氣館,嘉義縣梅山鄉中山路527號,0800-60-60-60,http://www.plummyume.com.tw,"""23.586761,120.550915""",梅問屋梅子元氣館為全國第一家國家認證梅子觀光工廠，以外銷日本40年的生產經驗，堅持不添加防腐劑、糖精、糖蜜素、色素、漂白劑等，提供消費者好吃健康的梅子產品。
90,南部,嘉義縣,臺灣菸酒(股)公司嘉義觀光酒廠,嘉義縣民雄鄉福樂村中山路4號,05-221-5721,http://event.ttl-eshop.com.tw/cy/,"""23.521073,120.444035""",嘉義酒廠於1916年建廠，典藏1950年出廠台灣第一甕高粱酒是為鎮廠之寶。全年無休，免費開放參觀，館藏豐富佔地千坪，停車場超大好停車。酒香文化之旅，歡迎蒞臨。
91,南部,嘉義縣,穀盛酢鄉文物館,嘉義縣民雄鄉民雄工業區中正路36號,05-2204911,http://www.kokumori.com.tw,"""23.520414,120.458081""",館內收藏各種別具特色的古文物：150年前的壓榨機、千人份大蒸鍋、60餘年歷史的陳年古酢及「酢」文化的相關介紹，希望藉由穀盛酢鄉文物館的成立，讓更多社會大眾得以一窺酢文化的博大精深與奧妙。
92,南部,台南市,Sonispa漾魅力音波體驗館,台南市安南區科技一路8號,0800-892889,http://www.sonispa.com.tw,"""23.043049,120.152529""",皇尚以三十年外銷經驗，堅守品質與創新服務，可在音躍館體驗促進美膚的潔膚儀、美顏儀及消除痠痛的按摩儀，是您美膚最佳守護者；設有全國唯一室內戲鹽室及獨有鹽創商品，歡迎蒞臨體驗。
93,南部,台南市,台灣金屬創意館,台南市永康區永科環路598號,06-2036923#319 ,http://www.tmcm.com.tw/,"""23.045063, 120.275724""",台灣金屬創意館位於台南永康，來這裡可看到金屬的無限可能，結合豐富的台南文化特色，並體驗金屬柔軟、有趣的一面，一覽板金產品製作過程。完整的製程及科技的設備，結合DIY教學與樂活休閒新體驗。
94,南部,台南市,瓜瓜園地瓜生態故事館,台南市新化區中正路127巷31號,06-5902966,http://www.kky.com.tw,"""23.027205,120.306934""",瓜瓜園地瓜生態故事館位於好山好水的新化區，在故事館內可以看到地瓜的品種、生態及如何將傳統農業結合創新技術培育出一條條安心美味的地瓜!想知道更多地瓜的知識，走一趟地瓜生態故事館就對了!
95,南部,台南市,立康中草藥產業文化館,台南市永康區環工路29號,06-2335356,http://www.herbalmed.com.tw,"""23.045952,120.274381""",由生春堂醫藥集團創辦人鄭慶祥累積30餘年的製藥經驗，秉持科技、品質、服務三大經營方針，不斷追求卓越與創新，透過全面資源整合轉型升級，成為具國際水準的一流生技醫藥集團。
96,南部,台南市,宏遠紡織生態工業園,台南市山上區明和里256號,06-5782561#6720、6266,http://www.everest.com.tw/eteip,"""23.113459,120.341696""",宏遠紡織生態工業園，是創新永續的綠色工廠，生產高科技環保機能布料與低碳無毒環保機能衣。擁有鑽石級綠建築，並利用廠區空地引進日本秀明農法，推廣永續農業
97,南部,台南市,康那香不織布創意王國,台南市將軍區三吉里三吉66之1號,06-7941573,http://www.knh.com.tw/,"""23.202746,120.127763""",康那香不織布創意王國，是第一座以不織布產業為主題的觀光工廠，結合知識與互動科技，提供不織布相關與女性生理、嬰兒及老人照護知識之應用，是結合觀光、休閒、教學、文化之場所。
98,南部,台南市,港香蘭綠色健康知識館,台南市新市區南科一路1號,06-5052505,http://www.biotanico.com.tw,"""23.093616,120.284752""",遊客可經由與營養師互動可獲得終身受用的保健知識，參觀動線可看到產品製程及檢驗過程，DIY區可以品嚐產品；透過五感體驗了解健康產業，學習為自身健康把關。
99,南部,台南市,黑橋牌香腸博物館,台南市南區新忠路2號,06-2616990,http://www.blackbridge.com.tw,"""22.979631,120.184602""",黑橋牌香腸博物館為兼具文化與休閒的產業博物館，藉由闡述台南府城在地文化與東西方肉品飲食文化等兩個主軸，以及寓教於樂的香腸嘉年華DIY體驗活動，讓遊客享受一趟知性而趣味的旅行。
100,南部,台南市,新百祿燕窩觀光工廠,台南市南區彰南里新和路40號,06-2615959,http://www.facebook.com/sinbailu,"""22.967492,120.176311""",新百祿燕窩觀光工廠是國內第一座以燕窩為主題，並結合養生產業的知識分享與科技互動，讓消費者和遊客可以在寓教於樂的體驗下更瞭解食品安全及衛生環境的重要性，是您知性之旅的最佳選擇。
101,南部,台南市,臺南．家具產業博物館,台南市仁德區二仁路１段315巷50號,06-2661193,http://www.fmmit.com.tw/index.php,"""22.923936,120.222481""",家博館的成立讓更多人了解台灣家具產業之美，完整的展示環境將本質條件與歷史涵構統合在現代人的生活環境中，整體的展現以達到自然環境、歷史古蹟保存與增進現代人整體生活環境的目的。
102,南部,台南市,臺灣菸酒(股)公司隆田觀光酒廠,台南市官田區中華路一段 335號,06-5791311*521、06-5794669,http://event.ttl-eshop.com.tw/lt/,"""23.195744,120.321194""",本廠以「養生概念」為特色，於原有「養生酒文化園區」增加北蟲草文化及培養設施展示，應用至蟲草養生酒等商品，為全國唯一結合生物科技與製酒技術的「藥味養生觀光酒廠」。
103,南部,台南市,麗豐微酵館,台南市官田區二鎮里工業路48號,0800-882-789,http://www.microfer.com.tw,"""23.216738,120.323039""",麗豐微酵館位於台南市官田工業區，為臺灣第一家以【微生物發酵應用】主題的觀光工廠，並以「微酵」品牌產品，融合核心技術與在地化食材，塑造新商品及新品牌動力，以體驗行銷傳遞產品健康價值。
104,南部,台南市,天一中藥生活化園區,台南市官田區二鎮村工業路31號,06-6985978#128/132,http://www.itenergy.com.tw,"""23.213129,120.323081""",天一中藥生活化園區位於台南官田的綠色大地，園區設計跳脫傳統中藥印象，採時尚文藝風格，透過五行、名醫軼事、趣味製程、時辰節氣和人生各階段的健康概念，讓民眾對預防醫學有更正確的觀念。
105,南部,台南市,台灣漢藥體驗學習館,台南市佳里區嘉福里115-1號,06-7220646,http://www.taiwan-herbal.com.tw/,"""23.168592, 120.149568""",台灣漢藥體驗學習館位於台南市佳里區，是南部大型中藥材進口商，體驗學習館內介紹中藥材檢驗流程與節氣養生之重要性，以生活化的方式推廣中藥，以品嚐節氣燉品體驗養生，把學習與養生結為一體。
106,南部,台南市,臺灣菸酒(股)公司善化啤酒觀光工廠,台南市善化區成功路2號,06-5838511#431,http://event.ttl-eshop.com.tw/sh/index.aspx,"""23.129922,120.318478""",善化啤酒廠秉持公司願景：追求卓越品質、提供滿意服務、善盡社會責任的經營理念，並為敦親睦鄰及回饋廣大消費者，成立觀光工廠，為南臺灣打造一個休閒遊憩、寓教於樂的觀光勝地。
107,南部,台南市,虹泰水凝膠世界,台南市仁德區中正路3段523巷116號,06-2724880,http://www.hometech.tw,"""22.974768, 120.253053""",虹泰水凝膠世界分為水凝膠知識館與戶外水凝膠公仔花園，廣泛介紹水凝膠於醫療器材、保健器材與醫美保養等方面的應用，由觀光導覽中分享正確的醫學保健常識，幫助每一個人能擁有健康美麗的人生。
108,南部,台南市,和明織品文化館,台南市七股區大埕里189號(坤進廠),06-787-5288,http://www.hermin.com/hmtm/,"""23.146314,120.145663""",和明紡織以精緻且優質的紡織面料為基礎，於2014年成立「和明織品文化館 HMTM」，民眾可藉由參觀實際的生產線搭配紡織知識的相關介紹，體會一塊布的產生，是紗線間縱橫編織的結果，不但是許多人汗水的結晶，更需要時間的累積，才得以淬煉出美麗的布面圖案！
109,南部,台南市,卡多利亞良食故事館,台南市後壁區後壁里42之27號,06-6873480,https://www.facebook.com/cadozea.food,"""23.359349, 120.358690""",位於台南市後壁區，台一線省道旁的卡多利亞良食故事館，是一間專門製作美味便當/團膳觀光工廠，主要成立的目的在推廣食品安全教育，提供寓教於樂的觀光休憩空間。民眾來到故事館除了可以參觀工廠的生產製程外，更有許多具有教育意義的活動與展示，讓師生或親子可以藉由互動式的過程，輕鬆體驗相關的活動，從中學習到我們的企業理念，除了「營養健康」、「衛生安全」，更邀請民眾一起來「創新味美」，貫徹卡多利亞的品牌精神。
110,南部,高雄市,台灣滷味博物館,高雄市岡山區本洲產業園區本工一路25號,07-6229800,http://www.de-food.com.tw,"""22.817577,120.267411""",全球第一家「台灣滷味博物館」，藉由複合經營導入文化、設計與美感，展現滷味的前世今生、企業歷史、產業知識、科技化製程、在地文化特色，能在館內照到、看到、吃到、玩到、買到，一次滿足。
111,南部,高雄市,珍芳烏魚子見學工廠,高雄市前鎮區新衙路296巷81弄13號,07-8227488,http://www.a-ten588.com.tw,"""22.582711,120.312968""",本著對家業的傳承及台灣傳統之熱愛，擴大營業並設立工廠，創立「珍芳廠」品牌，實現扎根台灣，期望將「台灣烏魚子」行銷全世界，能夠成為代表台灣的漁產品。
112,南部,高雄市,彪琥台灣鞋故事館,高雄市三民區民族一路335巷43-1號,07-3892246,http://www.puhu.com.tw,"""22.65377,120.313272""",有一間在巷子裡的工廠，堅持根留台灣做百年事業，堅持100％ Made In Taiwan，堅持做一雙幫助人們健康的鞋子，堅持打造專屬台灣的精品品牌。鞋子的故事持續上映，巷仔內 看內行，歡迎光臨全台獨家的鞋子觀光工廠，親身體驗台灣鞋的過去、現在與未來
113,南部,屏東縣,天明製藥農科觀光藥廠,屏東縣長治鄉德和村神農路3號,08-7629666,http://www.tcmm.com.tw,"""22.713619,120.53681""",天明製藥成立於1968年，結合46年製藥經驗，耗資10億建新廠，為全台灣最具規模最完整的「科學中藥博覽館」，企業秉持『存正心、做好藥、行好事』理念，介紹中醫藥文化，推廣遊客正確健康養生觀念。
114,南部,屏東縣,萬寶祿酵素品牌文化館,屏東縣長治鄉德和村神農路17號,08-7624988,http://www.onepower.com.tw,"""22.718332,120.538419""",萬寶祿酵素品牌文化館特殊的建築及生態景觀設計有別於一般的廠房，正如我們的產品，崇尚自然、健康與能量。有安排製程解說與廠區導覽，讓消費者更了解產品的安全性及功能性。
115,南部,屏東縣,臺灣菸酒(股)公司屏東觀光酒廠,屏東縣內埔鄉建國路34號,08-7781640,http://event.ttl-eshop.com.tw/pt/,"""22.645428,120.549485""",屏東酒廠位內埔工業區，是全國生產紅標料理米酒最多的酒廠，廠區翠綠草原、環境清幽，附設產品推廣中心，歡迎到屏東觀光酒廠探索米酒類酒品生產過程及米酒料理各項用途相關知識。
116,南部,屏東縣,鮮饌道海洋食品文化館,屏東縣林邊鄉成功路122號,08-8752229,http://www.jyfood.com.tw,"""22.431677,120.495504""",第一座以鱈魚香絲為主題的海洋食品文化館，除了參觀四十多年來海產品的加工演進，文化館緊鄰大鵬灣國家風景區，是一個適合觀光、休閒、旅遊、教學、文化的地方。
117,東部,台東縣,池上鄉農會觀光工廠金色豐收館,台東縣池上鄉新興村7鄰85-6號,089-865936,http://csfa.org.tw/,"""23.112151,121.203068""",東台灣第一家擁有CAS認證的觀光級碾米廠，也是「全台最美米廠」，讓遊客能認識池上米製程、了解農耕演變歷史與體驗傳統土礱碾米、爆米香，近兩公頃的花草園區景觀讓人流連忘返。
118,東部,花蓮市,香又香便當調查局,花蓮縣花蓮市美工路15號,03-8228111,http://www.canmorer.com/demo/bandang/,"""24.014188,121.632084""",在廠區可透過展示牆及作業區之透明觀景窗，一窺現今學童營養午餐從科學的菜單設計，到一個便當的完整製程外，局內也有一些健康小知識及飲食禁忌之解密，讓學童及社會大眾不只對國內飲食製備之安全衛生更有信心，也可帶著滿滿的知識回家喔!
119,東部,花蓮市,臺灣菸酒(股)公司花蓮觀光酒廠,花蓮市美工路6號,03-8222130,http://event.ttl-eshop.com.tw/hl/,"""24.016436,121.633548""",本廠定位為「黃金酒鄉」，是以開發具地方特色黃金酒系列產品及於「產品推廣中心」內設置「黃金酒鄉體驗館」的具體方式展現，經由歷史文物陳列及專業導覽人員解說，將傳統製酒知識傳遞給遊客並將本廠轉換成觀光亮點。
